site_id,expt_id,trmt_id,event_id,event_name,start,end,tillage,N_appl_amount_kg/ha,N_type,planting,herbicide_appl,herbicide_type,S_appl_amount_kg/ha,S_type,harvest,artificial_rain_mm,shading,shading_period_id
EHD,digestate1,control,E1,Application 1,2023-03-17T00:00:00Z,2023-04-14T00:00:00Z,,40,"26N:35S, ammonium sulphate nitrate (ASN)",,,,,,,,,
EHD,digestate1,D1,E1,Application 1,2023-03-17T00:00:00Z,2023-04-14T00:00:00Z,,40,"26N:35S, ammonium sulphate nitrate (ASN)",,,,,,,,,
EHD,digestate1,D2,E1,Application 1,2023-03-17T00:00:00Z,2023-04-14T00:00:00Z,,40,"26N:35S, ammonium sulphate nitrate (ASN)",,,,,,,,,
EHD,digestate1,control,E2,Application 2,2023-04-14T00:00:00Z,2023-05-11T00:00:00Z,,110,Nitram,,,,,,,,,
EHD,digestate1,D1,E2,Application 2,2023-04-14T00:00:00Z,2023-05-11T00:00:00Z,,110,Liquid Digestate,,,,,,,,,
EHD,digestate1,D2,E2,Application 2,2023-04-14T00:00:00Z,2023-05-11T00:00:00Z,,110,Liquid Si-Digestate,,,,,,,,,
EHD,digestate1,control,E3,Application 3,2023-05-11T00:00:00Z,2023-08-12T00:00:00Z,,70,Nitram,,,,,,,,,
EHD,digestate1,D1,E3,Application 3,2023-05-11T00:00:00Z,2023-08-12T00:00:00Z,,70,Nitram,,,,,,,,,
EHD,digestate1,D2,E3,Application 3,2023-05-11T00:00:00Z,2023-08-12T00:00:00Z,,70,Nitram,,,,,,,,,
HRG,shading1,control,E1,,2023-05-18T15:08:00Z,2023-05-18T15:08:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_30,E1,,2023-05-18T15:08:00Z,2023-05-18T15:08:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_55,E1,,2023-05-18T15:08:00Z,2023-05-18T15:08:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_85,E1,,2023-05-18T15:08:00Z,2023-05-18T15:08:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,control,E2,,2023-05-18T15:08:00Z,2023-05-22T15:09:00Z,0,0,0,0,0,0,,,0,0,1,S1
HRG,shading1,S_30,E2,,2023-05-18T15:08:00Z,2023-05-22T15:09:00Z,0,0,0,0,0,0,,,0,0,1,S1
HRG,shading1,S_55,E2,,2023-05-18T15:08:00Z,2023-05-22T15:09:00Z,0,0,0,0,0,0,,,0,0,1,S1
HRG,shading1,S_85,E2,,2023-05-18T15:08:00Z,2023-05-22T15:09:00Z,0,0,0,0,0,0,,,0,0,1,S1
HRG,shading1,control,E3,,2023-06-08T12:09:00Z,2023-06-08T12:09:00Z,0,0,0,0,0,0,,,0,16,0,0
HRG,shading1,S_30,E3,,2023-06-08T12:09:00Z,2023-06-08T12:09:00Z,0,0,0,0,0,0,,,0,16,0,0
HRG,shading1,S_55,E3,,2023-06-08T12:09:00Z,2023-06-08T12:09:00Z,0,0,0,0,0,0,,,0,16,0,0
HRG,shading1,S_85,E3,,2023-06-08T12:09:00Z,2023-06-08T12:09:00Z,0,0,0,0,0,0,,,0,16,0,0
HRG,shading1,control,E4,,2023-06-08T13:30:00Z,2023-06-12T16:21:00Z,0,0,0,0,0,0,,,0,0,1,S2
HRG,shading1,S_30,E4,,2023-06-08T13:30:00Z,2023-06-12T16:21:00Z,0,0,0,0,0,0,,,0,0,1,S2
HRG,shading1,S_55,E4,,2023-06-08T13:30:00Z,2023-06-12T16:21:00Z,0,0,0,0,0,0,,,0,0,1,S2
HRG,shading1,S_85,E4,,2023-06-08T13:30:00Z,2023-06-12T16:21:00Z,0,0,0,0,0,0,,,0,0,1,S2
HRG,shading1,control,E5,,2023-06-14T15:00:00Z,2023-06-14T15:00:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_30,E5,,2023-06-14T15:00:00Z,2023-06-14T15:00:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_55,E5,,2023-06-14T15:00:00Z,2023-06-14T15:00:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,S_85,E5,,2023-06-14T15:00:00Z,2023-06-14T15:00:00Z,0,75,ammonium nitrate,0,0,0,,,0,0,0,0
HRG,shading1,control,E6,,2023-06-26T14:30:00Z,2023-06-30T15:00:00Z,0,0,0,0,0,0,,,0,0,1,S3
HRG,shading1,S_30,E6,,2023-06-26T14:30:00Z,2023-06-30T15:00:00Z,0,0,0,0,0,0,,,0,0,1,S3
HRG,shading1,S_55,E6,,2023-06-26T14:30:00Z,2023-06-30T15:00:00Z,0,0,0,0,0,0,,,0,0,1,S3
HRG,shading1,S_85,E6,,2023-06-26T14:30:00Z,2023-06-30T15:00:00Z,0,0,0,0,0,0,,,0,0,1,S3
HRG,shading1,control,E7,,2023-07-20T16:00:00Z,2023-07-24T16:39:00Z,0,0,0,0,0,0,,,0,0,1,S4
HRG,shading1,S_30,E7,,2023-07-20T16:00:00Z,2023-07-24T16:39:00Z,0,0,0,0,0,0,,,0,0,1,S4
HRG,shading1,S_55,E7,,2023-07-20T16:00:00Z,2023-07-24T16:39:00Z,0,0,0,0,0,0,,,0,0,1,S4
HRG,shading1,S_85,E7,,2023-07-20T16:00:00Z,2023-07-24T16:39:00Z,0,0,0,0,0,0,,,0,0,1,S4
HRG,shading1,control,E8,,2023-07-31T14:29:00Z,2023-08-04T15:04:00Z,0,0,0,0,0,0,,,0,0,1,S5
HRG,shading1,S_30,E8,,2023-07-31T14:29:00Z,2023-08-04T15:04:00Z,0,0,0,0,0,0,,,0,0,1,S5
HRG,shading1,S_55,E8,,2023-07-31T14:29:00Z,2023-08-04T15:04:00Z,0,0,0,0,0,0,,,0,0,1,S5
HRG,shading1,S_85,E8,,2023-07-31T14:29:00Z,2023-08-04T15:04:00Z,0,0,0,0,0,0,,,0,0,1,S5
HRG,shading1,control,E9,,2023-08-14T10:59:00Z,2023-08-18T13:15:00Z,0,0,0,0,0,0,,,0,0,1,S6
HRG,shading1,S_30,E9,,2023-08-14T10:59:00Z,2023-08-18T13:15:00Z,0,0,0,0,0,0,,,0,0,1,S6
HRG,shading1,S_55,E9,,2023-08-14T10:59:00Z,2023-08-18T13:15:00Z,0,0,0,0,0,0,,,0,0,1,S6
HRG,shading1,S_85,E9,,2023-08-14T10:59:00Z,2023-08-18T13:15:00Z,0,0,0,0,0,0,,,0,0,1,S6
HRG,shading1,control,E10,,2023-09-15T12:30:00Z,2023-09-15T12:30:00Z,0,0,0,0,0,0,,,1,0,0,0
HRG,shading1,S_30,E10,,2023-09-15T12:30:00Z,2023-09-15T12:30:00Z,0,0,0,0,0,0,,,1,0,0,0
HRG,shading1,S_55,E10,,2023-09-15T12:30:00Z,2023-09-15T12:30:00Z,0,0,0,0,0,0,,,1,0,0,0
HRG,shading1,S_85,E10,,2023-09-15T12:30:00Z,2023-09-15T12:30:00Z,0,0,0,0,0,0,,,1,0,0,0
EHD,biochar1,b1,E1,Application 1,2021-05-13T08:00:00Z,2021-06-04T15:00:00Z,,110,Extran,,,,,,,,,
EHD,biochar1,b2,E1,Application 1,2021-05-13T08:00:00Z,2021-06-04T15:00:00Z,,110,Extran,,,,,,,,,
EHD,biochar1,b3,E1,Application 1,2021-05-13T08:00:00Z,2021-06-04T15:00:00Z,,110,Nutrisphere-N,,,,,,,,,
EHD,biochar1,b1,E2,Application 2,2021-06-04T17:00:00Z,2021-08-09T00:00:00Z,,40,Extran,,,,50,Sulphur,,,,
EHD,biochar1,b2,E2,Application 2,2021-06-04T17:00:00Z,2021-08-09T00:00:00Z,,40,Extran,,,,50,Sulphur,,,,
EHD,biochar1,b3,E2,Application 2,2021-06-04T17:00:00Z,2021-08-09T00:00:00Z,,40,Nutrisphere-N,,,,50,Sulphur,,,,
PDF,mix1,control,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Extran,,,,,,,,,
PDF,mix1,B1,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Extran,,,,,,,,,
PDF,mix1,B2,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Extran,,,,,,,,,
PDF,mix1,In,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Nutrisphere-N,,,,,,,,,
PDF,mix1,RD,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Extran,,,,,,,,,
PDF,mix1,misc,E1,Application 1,2024-05-03T10:00:00Z,2024-06-04T17:00:00Z,,50,Extran,,,,,,,,,
PDF,mix1,control,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Extran,,,,,,,,,
PDF,mix1,B1,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Extran,,,,,,,,,
PDF,mix1,B2,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Extran,,,,,,,,,
PDF,mix1,In,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Nutrisphere-N,,,,,,,,,
PDF,mix1,RD,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Extran,,,,,,,,,
PDF,mix1,misc,E2,Application 2,2024-06-04T17:00:00Z,2024-08-15T18:00:00Z,,75,Extran,,,,,,,,,
EHD,split1,sx2,E1,,2020-03-18T00:00:00Z,2020-04-20T00:00:00Z,,125,N,,,,40:60,P:K,,,,
